fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.69973,0.01293,0.01,0.937,0.0005,4.57669,0.72959,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.7248,0.01293,0.0084,0.92775,0.0005,4.57669,0.72959,7.5,0.48248,1.5,0.00865,0.7,0.4,0.0,0.07346,0.45069,0.0,0.0,0.0,0.31718,0.0,1.0,0.0,0.0,0.0,10
0.68818,0.01084,0.0084,0.92775,0.0005,4.57669,0.88421,7.5,0.48248,1.2302,0.00865,0.55086,0.42893,0.0,0.07346,0.37268,0.0,0.0,0.0,0.20207,0.0,1.0,0.0,0.0,0.0,10
0.71864,0.01293,0.00867,0.89793,0.0005,4.57669,0.7849,7.5,0.48248,1.26243,0.00865,0.7,0.36567,0.0,0.07346,0.45069,0.0,0.0,0.0,0.33869,0.0,0.98194,0.0,0.0,0.0,10
0.71772,0.01293,0.00863,0.87921,0.00055,4.87259,0.83421,7.5,0.48299,1.42698,0.01335,0.7,0.4579,0.0,0.07727,0.4761,0.0,0.0,0.0,0.35462,0.0,0.98448,0.0,0.0,0.0,10
0.72842,0.0169,0.00722,0.8783,0.00035,3.99726,0.67025,6.87361,0.72089,1.36201,0.00848,0.7,0.34947,0.0,0.07715,0.46294,0.0,0.0,0.0,0.35665,0.0,1.0,0.0,0.0,0.0,10
0.70847,0.01415,0.00786,0.91356,0.00042,4.67403,0.71159,4.51688,0.69281,1.34771,0.01075,0.85799,0.40014,0.0,0.07501,0.47542,0.0,0.0,0.0,0.4379,0.0,0.98175,0.0,0.0,0.0,7
0.73248,0.01559,0.00842,0.88919,0.00056,4.90975,0.95,7.03902,0.67129,1.34713,0.00815,0.7,0.32283,0.0,0.0767,0.35827,0.0,0.0,0.0,0.3251,0.0,0.8319,0.0,0.0,0.0,10
0.70786,0.02098,0.00839,0.91006,0.00035,3.73388,0.817,7.45192,0.65563,1.38686,0.00912,0.73253,0.44034,0.0,0.09097,0.68064,0.0,0.0,0.0,0.50751,0.0,0.84438,0.0,0.0,0.0,9
0.70453,0.01558,0.0088,0.92977,0.00052,4.12631,0.95,9.16457,0.49135,2.07033,0.01221,0.46895,0.45,0.0,0.08508,0.38863,0.0,0.0,0.0,0.45764,0.0,0.81551,0.0,0.0,0.0,10
0.72477,0.0132,0.00509,0.88391,0.00051,4.21203,0.66279,5.9526,0.47739,1.40276,0.011,0.9,0.47674,0.0,0.08568,0.27828,0.0,0.0,0.0,0.37011,0.0,1.0,0.0,0.0,0.0,10
0.71877,0.02629,0.00645,0.90258,0.00048,4.57952,0.6541,5.94897,0.52281,1.23166,0.00986,0.84987,0.40467,0.0,0.08782,0.48938,0.0,0.0,0.0,0.31975,0.0,0.88313,0.0,0.0,0.0,9
0.71043,0.0366,0.00482,0.98,0.00046,4.43918,0.74498,4.14772,1.05482,1.1643,0.00617,0.83207,0.37325,0.0,0.08032,0.41256,0.0,0.0,0.0,0.322,0.0,0.97753,0.0,0.0,0.0,9
0.72491,0.01387,0.0062,0.89612,0.00037,3.94403,0.78927,7.08561,0.4951,1.78051,0.01131,0.67751,0.35615,0.0,0.07795,0.52275,0.0,0.0,0.0,0.42191,0.0,1.0,0.0,0.0,0.0,10
0.72643,0.01198,0.00731,0.81222,0.00031,3.90059,0.68353,5.73863,0.58636,1.40584,0.01027,0.77989,0.4633,0.0,0.07507,0.43629,0.0,0.0,0.0,0.37761,0.0,1.0,0.0,0.0,0.0,10
0.70818,0.02795,0.00793,0.84714,0.00027,3.86191,0.90446,5.56471,0.24739,1.45817,0.01052,0.85511,0.46976,0.0,0.06683,0.49892,0.0,0.0,0.0,0.35219,0.0,0.97109,0.0,0.0,0.0,9
0.7079,0.01657,0.00893,0.84044,0.00073,4.57961,0.7556,5.79082,0.39231,1.35593,0.01153,0.86954,0.43206,0.0,0.07792,0.28424,0.0,0.0,0.0,0.2442,0.0,0.99199,0.0,0.0,0.0,10
0.72694,0.01075,0.00824,0.88717,0.00044,3.83277,0.95,7.23028,0.48187,1.16733,0.00797,0.85751,0.42523,0.0,0.08829,0.35949,0.0,0.0,0.0,0.29458,0.0,0.93077,0.0,0.0,0.0,10
0.71037,0.01453,0.00512,0.89345,0.00022,4.07165,0.95,7.30586,0.4047,1.50154,0.00836,0.74509,0.30492,0.0,0.08526,0.31864,0.0,0.0,0.0,0.4371,0.0,0.88535,0.0,0.0,0.0,10
0.73573,0.01599,0.00852,0.93365,0.00032,4.87415,0.95,5.97732,0.57228,1.4791,0.0091,0.9,0.29705,0.0,0.08137,0.34478,0.0,0.0,0.0,0.25762,0.0,0.80483,0.0,0.0,0.0,10
